"Date","Symbol","Marketcapname","Sector"
"21-08-2023","FORCEMOT","Largecap","Auto"
"21-08-2023","BEML","Midcap","Aerospace & Defence"
"21-08-2023","BEL","Largecap","Aerospace & Defence"
"21-08-2023","CRISIL","Largecap","Financials"
"21-08-2023","BHEL","Largecap","Industrials"
"21-08-2023","MRPL","Largecap","Energy"
"21-08-2023","HSCL","Largecap","Chemicals"
"21-08-2023","TRENT","Largecap","Consumer Discretionary"
"21-08-2023","MFSL","Largecap","Financials"
"21-08-2023","TATAPOWER","Largecap","Power & Utilities"
"21-08-2023","THERMAX","Largecap","Industrials"
"21-08-2023","FEDERALBNK","Largecap","Bank"
"21-08-2023","TATACOMM","Largecap","Telecom-Service"
"21-08-2023","BHARATFORG","Largecap","Industrials"
"21-08-2023","ESCORTS","Largecap","Auto"
"21-08-2023","EIHOTEL","Midcap","Services"
"21-08-2023","VTL","Midcap","Textiles"
"21-08-2023","ZENSARTECH","Midcap","I.T"
"21-08-2023","SARDAEN","Midcap","Metals & Mining"
"21-08-2023","ELECON","Midcap","Industrials"
"21-08-2023","GABRIEL","Largecap","Auto"
"21-08-2023","CEMPRO","Largecap","Realty"
"21-08-2023","SUPREMEIND","Largecap","Plastic products"
"21-08-2023","SHRIRAMFIN","Largecap","Financials"
"21-08-2023","WELSPUNLIV","Midcap","Textiles"
"21-08-2023","ANANTRAJ","Largecap","Realty"
"21-08-2023","USHAMART","Midcap","Metals & Mining"
"21-08-2023","HBLENGINE","Midcap","Auto"
"21-08-2023","KEI","Largecap","Industrials"
"21-08-2023","GVT&D","Largecap","Industrials"
"21-08-2023","3MINDIA","Largecap","Miscellaneous"
"21-08-2023","LINDEINDIA","Largecap","Chemicals"
"21-08-2023","SCI","Midcap","Transportation"
"21-08-2023","CYIENT","Midcap","I.T"
"21-08-2023","ENGINERSIN","Midcap","Realty"
"21-08-2023","GMDCLTD","Midcap","Metals & Mining"
"21-08-2023","J&KBANK","Midcap","Bank"
"21-08-2023","APARINDS","Largecap","Industrials"
"21-08-2023","BSOFT","Midcap","I.T"
"21-08-2023","JSL","Largecap","Metals & Mining"
"21-08-2023","MAHABANK","Largecap","Bank"
"21-08-2023","RKFORGE","Midcap","Industrials"
"21-08-2023","JBMA","Midcap","Auto"
"21-08-2023","SUZLON","Largecap","Industrials"
"21-08-2023","AIAENG","Largecap","Industrials"
"21-08-2023","SOLARINDS","Largecap","Aerospace & Defence"
"21-08-2023","GMRAIRPORT","Largecap","Miscellaneous"
"21-08-2023","FSL","Midcap","I.T"
"21-08-2023","PFC","Largecap","Financials"
"21-08-2023","KPRMILL","Largecap","Consumer Discretionary"
"21-08-2023","TARIL","Midcap","Industrials"
"21-08-2023","RECLTD","Largecap","Financials"
"21-08-2023","TITAGARH","Midcap","Industrials"
"21-08-2023","JWL","Midcap","Industrials"
"21-08-2023","GRAVITA","Midcap","Metals & Mining"
"21-08-2023","PGEL","Midcap","Consumer Discretionary"
"21-08-2023","APLAPOLLO","Largecap","Industrials"
"21-08-2023","SCHNEIDER","Largecap","Industrials"
"21-08-2023","IDFCFIRSTB","Largecap","Bank"
"21-08-2023","BLS","Midcap","I.T"
"21-08-2023","LTTS","Largecap","I.T"
"21-08-2023","BSE","Largecap","Financials"
"21-08-2023","DIXON","Largecap","Consumer Discretionary"
"21-08-2023","NEWGEN","Midcap","I.T"
"21-08-2023","ASTERDM","Largecap","Healthcare"
"21-08-2023","LEMONTREE","Midcap","Services"
"21-08-2023","IRCON","Midcap","Realty"
"21-08-2023","GRSE","Largecap","Aerospace & Defence"
"21-08-2023","CHALET","Midcap","Services"
"21-08-2023","POLYCAB","Largecap","Industrials"
"21-08-2023","POWERINDIA","Largecap","Industrials"
"21-08-2023","CRAFTSMAN","Largecap","Auto"
"21-08-2023","SONACOMS","Largecap","Auto"
"21-08-2023","KIMS","Largecap","Healthcare"
"21-08-2023","DATAPATTNS","Largecap","Aerospace & Defence"
"21-08-2023","PARADEEP","Midcap","Chemicals"
"21-08-2023","SYRMA","Largecap","Consumer Discretionary"
"28-08-2023","FORCEMOT","Largecap","Auto"
"28-08-2023","ABREL","Midcap","Realty"
"28-08-2023","BEML","Midcap","Aerospace & Defence"
"28-08-2023","BEL","Largecap","Aerospace & Defence"
"28-08-2023","CESC","Midcap","Power & Utilities"
"28-08-2023","BHEL","Largecap","Industrials"
"28-08-2023","MRPL","Largecap","Energy"
"28-08-2023","SAIL","Largecap","Metals & Mining"
"28-08-2023","FINCABLES","Largecap","Industrials"
"28-08-2023","HSCL","Largecap","Chemicals"
"28-08-2023","TRENT","Largecap","Consumer Discretionary"
"28-08-2023","MFSL","Largecap","Financials"
"28-08-2023","NCC","Midcap","Realty"
"28-08-2023","ONGC","Largecap","Energy"
"28-08-2023","TATAPOWER","Largecap","Power & Utilities"
"28-08-2023","SPLPETRO","Midcap","Energy"
"28-08-2023","THERMAX","Largecap","Industrials"
"28-08-2023","FEDERALBNK","Largecap","Bank"
"28-08-2023","TATASTEEL","Largecap","Metals & Mining"
"28-08-2023","TATACOMM","Largecap","Telecom-Service"
"28-08-2023","BHARATFORG","Largecap","Industrials"
"28-08-2023","ESCORTS","Largecap","Auto"
"28-08-2023","LT","Largecap","Realty"
"28-08-2023","M&M","Largecap","Auto"
"28-08-2023","EIHOTEL","Midcap","Services"
"28-08-2023","INDHOTEL","Largecap","Services"
"28-08-2023","VTL","Midcap","Textiles"
"28-08-2023","PHOENIXLTD","Largecap","Realty"
"28-08-2023","ZENSARTECH","Midcap","I.T"
"28-08-2023","SARDAEN","Midcap","Metals & Mining"
"28-08-2023","CHOLAHLDNG","Largecap","Financials"
"28-08-2023","ELECON","Midcap","Industrials"
"28-08-2023","GABRIEL","Largecap","Auto"
"28-08-2023","COROMANDEL","Largecap","Chemicals"
"28-08-2023","PCBL","Midcap","Chemicals"
"28-08-2023","BERGEPAINT","Largecap","Building Materials"
"28-08-2023","CEMPRO","Largecap","Realty"
"28-08-2023","SHRIRAMFIN","Largecap","Financials"
"28-08-2023","NAVA","Midcap","Miscellaneous"
"28-08-2023","HINDCOPPER","Largecap","Metals & Mining"
"28-08-2023","NLCINDIA","Largecap","Power & Utilities"
"28-08-2023","WELSPUNLIV","Midcap","Textiles"
"28-08-2023","ANANTRAJ","Largecap","Realty"
"28-08-2023","USHAMART","Midcap","Metals & Mining"
"28-08-2023","HAVELLS","Largecap","Consumer Discretionary"
