Ticker,Entry Date,Exit Date,Shares,Entry Price,Exit Price,Profit/Loss (₹),Return (%)
PFC.NS,2022-09-13,2022-09-14,374,75.72,75.06,-245.17,-0.87
PFC.NS,2022-09-14,2022-09-15,428,75.39,76.01,266.55,0.83
MARICO.NS,2022-09-14,2022-09-15,42,509.65,497.8,-497.78,-2.33
PFC.NS,2022-09-15,2022-09-16,215,77.71,76.0,-369.45,-2.21
IRFC.NS,2022-09-13,2022-09-19,670,20.65,19.86,-532.62,-3.85
KOTAKBANK.NS,2022-09-14,2022-09-19,35,389.07,379.8,-324.48,-2.38
SUNPHARMA.NS,2022-09-16,2022-09-19,57,835.48,839.66,238.65,0.5
PFC.NS,2022-09-16,2022-09-19,78,74.67,74.8,10.23,0.18
CIPLA.NS,2022-09-19,2022-09-20,14,999.17,1004.19,70.19,0.5
POWERGRID.NS,2022-09-14,2022-09-21,64,147.38,144.69,-171.79,-1.82
PFC.NS,2022-09-20,2022-09-21,830,74.31,74.14,-136.01,-0.22
TORNTPHARM.NS,2022-09-21,2022-09-22,18,1438.3,1441.37,55.22,0.21
IRFC.NS,2022-09-21,2022-09-22,1742,19.77,19.77,0.01,0.0
AXISBANK.NS,2022-09-14,2022-09-23,11,800.31,777.23,-253.86,-2.88
POWERGRID.NS,2022-09-22,2022-09-23,144,139.49,138.35,-164.27,-0.82
TORNTPHARM.NS,2022-09-22,2022-09-23,11,1473.96,1451.24,-249.93,-1.54
CIPLA.NS,2022-09-20,2022-09-26,4,1053.17,1013.27,-159.59,-3.79
MARICO.NS,2022-09-21,2022-09-26,21,510.7,502.06,-181.39,-1.69
SUNPHARMA.NS,2022-09-20,2022-09-28,16,877.73,860.45,-276.42,-1.97
POWERGRID.NS,2022-09-30,2022-10-03,487,134.48,134.99,246.91,0.38
POWERGRID.NS,2022-10-12,2022-10-13,233,136.6,135.6,-233.93,-0.73
TORNTPHARM.NS,2022-09-30,2022-10-18,9,1495.19,1498.68,31.42,0.23
SUNPHARMA.NS,2022-09-30,2022-11-14,10,913.05,965.73,526.79,5.77
DRREDDY.NS,2022-11-14,2022-11-15,11,850.04,850.74,7.61,0.08
SHRIRAMFIN.NS,2022-11-17,2022-11-18,40,237.3,231.86,-217.41,-2.29
RELIANCE.NS,2022-10-28,2022-11-21,39,1147.87,1162.54,572.15,1.28
SHRIRAMFIN.NS,2022-11-21,2022-11-28,104,241.86,236.73,-533.0,-2.12
SHRIRAMFIN.NS,2022-11-28,2022-11-29,48,235.27,233.04,-107.15,-0.95
SHRIRAMFIN.NS,2022-11-29,2022-11-30,48,236.3,236.7,19.2,0.17
SHRIRAMFIN.NS,2022-11-30,2022-12-01,9,251.13,238.09,-117.37,-5.19
SHRIRAMFIN.NS,2022-12-01,2022-12-02,9,239.38,238.27,-9.98,-0.46
COLPAL.NS,2022-12-05,2022-12-06,1,1478.42,1473.54,-4.89,-0.33
TCS.NS,2022-11-30,2022-12-07,3,2991.91,2959.61,-96.91,-1.08
RELIANCE.NS,2022-11-28,2022-12-09,11,1230.3,1199.44,-339.41,-2.51
IRFC.NS,2022-10-25,2022-12-12,1052,20.18,29.22,9510.7,44.8
COLPAL.NS,2022-12-07,2022-12-14,5,1498.41,1491.48,-34.61,-0.46
COLPAL.NS,2022-12-14,2022-12-15,7,1453.68,1455.85,15.22,0.15
DMART.NS,2022-12-14,2022-12-16,10,4201.1,4087.79,-1133.15,-2.7
SBILIFE.NS,2022-12-15,2022-12-16,8,1264.07,1253.65,-83.38,-0.82
HDFCLIFE.NS,2022-11-24,2022-12-19,24,565.15,567.17,48.39,0.36
RELIANCE.NS,2022-12-16,2022-12-19,41,1165.8,1172.8,286.91,0.6
BEL.NS,2022-12-16,2022-12-19,40,95.46,95.46,-0.0,-0.0
BEL.NS,2022-12-19,2022-12-20,138,96.42,96.71,39.74,0.3
COLPAL.NS,2022-12-19,2022-12-20,22,1481.2,1473.57,-167.89,-0.52
PFC.NS,2022-10-28,2022-12-21,294,74.6,92.63,5301.97,24.17
SBILIFE.NS,2022-12-20,2022-12-21,39,1222.13,1221.94,-7.74,-0.02
BOSCHLTD.NS,2022-11-23,2022-12-22,1,15713.49,16303.1,589.61,3.75
SHRIRAMFIN.NS,2022-12-06,2022-12-22,9,246.77,249.63,25.72,1.16
INDIGO.NS,2022-12-20,2022-12-22,5,2060.32,1966.01,-471.54,-4.58
SBILIFE.NS,2022-12-21,2022-12-22,35,1225.21,1225.26,1.74,0.0
INDIGO.NS,2022-12-22,2022-12-23,9,1973.76,1947.71,-234.5,-1.32
SBILIFE.NS,2022-12-22,2022-12-23,26,1235.53,1230.13,-140.65,-0.44
SIEMENS.NS,2022-12-26,2022-12-27,10,1633.37,1642.71,93.37,0.57
POWERGRID.NS,2022-12-27,2022-12-28,403,137.99,137.89,-39.22,-0.07
POWERGRID.NS,2022-12-28,2022-12-29,234,140.0,138.9,-258.13,-0.79
PIDILITIND.NS,2022-12-28,2022-12-29,33,1264.18,1263.03,-37.88,-0.09
DMART.NS,2022-12-29,2022-12-30,11,4178.3,4078.67,-1095.89,-2.38
POWERGRID.NS,2022-12-29,2022-12-30,235,140.0,140.04,8.31,0.03
CHOLAFIN.NS,2022-12-29,2022-12-30,44,710.45,715.42,218.6,0.7
SHRIRAMFIN.NS,2022-12-30,2023-01-03,52,256.13,251.51,-240.34,-1.8
INDUSINDBK.NS,2023-01-04,2023-01-05,7,1194.61,1182.39,-85.57,-1.02
MARICO.NS,2023-01-05,2023-01-06,33,491.81,490.17,-54.07,-0.33
ICICIGI.NS,2023-01-03,2023-01-10,26,1235.67,1211.67,-624.02,-1.94
TCS.NS,2023-01-09,2023-01-10,5,2929.4,2898.18,-156.1,-1.07
GODREJCP.NS,2023-01-05,2023-01-11,20,870.6,850.71,-397.67,-2.28
POWERGRID.NS,2023-01-10,2023-01-11,345,137.44,137.7,89.54,0.19
HDFCLIFE.NS,2023-01-03,2023-01-20,37,587.9,587.49,-15.37,-0.07
SBILIFE.NS,2023-01-03,2023-01-23,17,1259.01,1275.49,280.11,1.31
INDUSINDBK.NS,2023-01-20,2023-01-23,9,1174.44,1184.45,90.1,0.85
SBILIFE.NS,2023-01-23,2023-01-24,13,1285.81,1277.14,-112.65,-0.67
SIEMENS.NS,2023-01-20,2023-01-25,5,1764.27,1708.99,-276.41,-3.13
GODREJCP.NS,2023-01-20,2023-01-25,2,885.7,868.39,-34.61,-1.95
POWERGRID.NS,2023-01-23,2023-01-27,108,146.07,141.18,-528.14,-3.35
NTPC.NS,2023-02-14,2023-02-15,102,151.49,150.57,-93.15,-0.6
BOSCHLTD.NS,2023-02-14,2023-02-15,1,16435.33,16345.85,-89.48,-0.54
COALINDIA.NS,2023-02-15,2023-02-16,102,169.45,169.93,48.71,0.28
EICHERMOT.NS,2023-02-15,2023-02-17,7,3164.51,3101.04,-444.27,-2.01
COALINDIA.NS,2023-02-16,2023-02-17,87,171.48,171.01,-41.55,-0.28
BEL.NS,2023-02-16,2023-02-20,33,94.42,92.65,-58.44,-1.88
GAIL.NS,2023-02-17,2023-02-20,386,83.1,83.12,10.12,0.03
TCS.NS,2023-01-11,2023-02-21,22,2937.12,3124.99,4133.2,6.4
PIIND.NS,2023-02-17,2023-02-22,1,3239.83,3137.72,-102.11,-3.15
TVSMOTOR.NS,2023-02-15,2023-02-27,2,1093.77,1069.24,-49.06,-2.24
AXISBANK.NS,2023-04-10,2023-04-11,53,844.46,845.36,47.54,0.11
AXISBANK.NS,2023-04-11,2023-04-12,15,850.39,846.85,-53.1,-0.42
AXISBANK.NS,2023-04-12,2023-04-13,15,848.15,848.24,1.33,0.01
GRASIM.NS,2023-04-10,2023-04-21,8,1676.34,1632.06,-354.26,-2.64
MARUTI.NS,2023-04-13,2023-04-21,1,8334.76,8225.78,-108.99,-1.31
AXISBANK.NS,2023-04-13,2023-04-28,5,861.4,862.7,6.48,0.15
BHARTIARTL.NS,2023-04-28,2023-05-04,5,774.92,750.76,-120.8,-3.12
CANBK.NS,2023-04-25,2023-05-08,3,53.86,53.56,-0.89,-0.55
COALINDIA.NS,2023-05-04,2023-05-08,20,188.99,183.4,-111.83,-2.96
SUNPHARMA.NS,2023-05-08,2023-05-09,4,932.71,932.75,0.19,0.01
CANBK.NS,2023-05-08,2023-05-09,2,54.82,53.51,-2.62,-2.39
NHPC.NS,2023-04-13,2023-05-10,5,39.75,40.56,4.03,2.03
CANBK.NS,2023-05-09,2023-05-10,1,53.01,52.48,-0.53,-1.01
CANBK.NS,2023-05-10,2023-05-11,5,52.65,52.86,1.05,0.4
KOTAKBANK.NS,2023-04-11,2023-05-17,87,367.53,381.6,1223.61,3.83
CANBK.NS,2023-05-16,2023-05-17,5,53.41,53.21,-1.01,-0.38
KOTAKBANK.NS,2023-05-17,2023-05-18,1,380.0,381.65,1.65,0.43
TITAN.NS,2023-04-10,2023-05-19,7,2550.88,2666.46,809.05,4.53
SBIN.NS,2023-04-24,2023-05-19,41,515.24,529.82,597.8,2.83
TATACOMM.NS,2023-05-19,2023-05-22,2,1177.21,1179.84,5.25,0.22
ICICIBANK.NS,2023-04-10,2023-05-25,40,840.38,904.02,2545.31,7.57
KOTAKBANK.NS,2023-05-25,2023-05-26,50,384.14,382.91,-61.86,-0.32
GRASIM.NS,2023-05-25,2023-05-26,10,1667.62,1668.16,5.39,0.03
SUNPHARMA.NS,2023-05-26,2023-05-29,38,940.51,926.61,-528.32,-1.48
COALINDIA.NS,2023-05-09,2023-06-01,20,188.12,183.38,-94.72,-2.52
HCLTECH.NS,2023-05-17,2023-06-06,4,946.44,981.61,140.7,3.72
GRASIM.NS,2023-06-06,2023-06-08,2,1731.38,1691.49,-79.78,-2.3
SBIN.NS,2023-05-19,2023-06-09,38,534.33,546.49,462.26,2.28
BHARTIARTL.NS,2023-05-17,2023-06-14,38,768.09,798.4,1151.8,3.95
DLF.NS,2023-04-10,2023-06-19,2,392.21,467.17,149.92,19.11
MARUTI.NS,2023-05-19,2023-06-20,2,8753.05,9097.39,688.68,3.93
