Date,Equity,Peak,Drawdown,Monthly Profit (₹),Monthly Return (%)
2021-09,100000.0,100000.0,0.0,0.0,0.0
2021-10,100000.0,100000.0,0.0,0.0,0.0
2021-11,100000.0,100000.0,0.0,0.0,0.0
2021-12,100000.0,100000.0,0.0,0.0,0.0
2022-01,100000.0,100000.0,0.0,0.0,0.0
2022-02,100000.0,100000.0,0.0,0.0,0.0
2022-03,100000.0,100000.0,0.0,0.0,0.0
2022-04,100000.0,100000.0,0.0,0.0,0.0
2022-05,100000.0,100000.0,0.0,0.0,0.0
2022-06,100000.0,100000.0,0.0,0.0,0.0
2022-07,100000.0,100000.0,0.0,0.0,0.0
2022-08,100000.0,100000.0,0.0,0.0,0.0
2022-09,97078.09,100000.0,-0.03,-2921.91,-2.92
2022-10,99151.36,100000.0,-0.01,2073.27,2.14
2022-11,114640.72,116407.42,-0.02,15489.35,15.62
2022-12,109257.83,117074.48,-0.07,-5382.88,-4.7
2023-01,109257.02,117074.48,-0.07,-0.82,-0.0
2023-02,110506.63,117074.48,-0.06,1249.61,1.14
2023-03,110506.63,117074.48,-0.06,0.0,0.0
2023-04,114891.64,117074.48,-0.02,4385.02,3.97
2023-05,118397.39,118397.39,0.0,3505.74,3.05
2023-06,120214.82,120611.04,-0.0,1817.43,1.54
2023-07,126315.84,126315.84,0.0,6101.01,5.08
2023-08,123495.3,126315.84,-0.02,-2820.53,-2.23
2023-09,124213.26,127448.42,-0.03,717.95,0.58
2023-10,121689.31,127448.42,-0.05,-2523.95,-2.03
2023-11,127438.54,127448.42,-0.0,5749.23,4.72
2023-12,133376.79,133376.79,0.0,5938.25,4.66
2024-01,133704.25,134070.52,-0.0,327.46,0.25
2024-02,133372.28,137728.17,-0.03,-331.97,-0.25
2024-03,137315.96,137728.17,-0.0,3943.67,2.96
2024-04,137358.74,137945.42,-0.0,42.78,0.03
2024-05,136453.26,138935.58,-0.02,-905.47,-0.66
2024-06,133810.81,138935.58,-0.04,-2642.46,-1.94
2024-07,134823.05,138935.58,-0.03,1012.24,0.76
2024-08,141177.96,141177.96,0.0,6354.91,4.71
2024-09,148936.0,150797.06,-0.01,7758.04,5.5
2024-10,144346.39,150797.06,-0.04,-4589.61,-3.08
2024-11,143027.14,150797.06,-0.05,-1319.25,-0.91
2024-12,140523.54,150797.06,-0.07,-2503.6,-1.75
2025-01,140523.54,150797.06,-0.07,0.0,0.0
2025-02,140523.54,150797.06,-0.07,0.0,0.0
2025-03,138958.01,150797.06,-0.08,-1565.53,-1.11
2025-04,135173.26,150797.06,-0.1,-3784.75,-2.72
2025-05,130535.33,150797.06,-0.13,-4637.93,-3.43
2025-06,129296.82,150797.06,-0.14,-1238.51,-0.95
2025-07,126726.8,150797.06,-0.16,-2570.02,-1.99
2025-08,127625.36,150797.06,-0.15,898.56,0.71
2025-09,131009.34,150797.06,-0.13,3383.98,2.65
2025-10,135142.81,150797.06,-0.1,4133.47,3.16
2025-11,138037.6,150797.06,-0.08,2894.79,2.14
2025-12,136167.78,150797.06,-0.1,-1869.82,-1.35
2026-01,136014.26,150797.06,-0.1,-153.51,-0.11
2026-02,135688.5,150797.06,-0.1,-325.76,-0.24
2026-03,133689.05,150797.06,-0.11,-1999.45,-1.47
2026-04,133689.05,150797.06,-0.11,0.0,0.0
2026-05,133689.05,150797.06,-0.11,0.0,0.0
2026-06,133985.3,150797.06,-0.11,296.25,0.22
2026-07,132168.61,150797.06,-0.12,-1816.69,-1.36
2026-08,128867.13,150797.06,-0.15,-3301.48,-2.5
2026-09,128867.13,150797.06,-0.15,0.0,0.0
